Имя файла,Город,Количество топов
about.php,Не найдено,0
arhangelsk.php,"Архангельск, ул. Карла",12
astrahan.php,"Астрахань, пл. Карла",11
balashiha.php,"Балашиха, ул. Ленина,",13
barnaul.php,"Барнаул, пр-т Комсомольский,",12
cheboksary.php,"Архангельск, ул. Карла",13
cheljabinsk.php,"Челябинск, пр. Ленина,",7
chelyabinsk.php,"Челябинск, пр. Ленина,",11
constants.php,Не найдено,0
contacts.php,Не найдено,0
ekaterinburg.php,"Екатеринбург, ул. Шейнкмана,",15
footer.php,Не найдено,0
goroda.php,Не найдено,0
header.php,Не найдено,0
himki.php,"Химки, ул. Ленина,",17
index.php,Не найдено,0
ioshkar-ola.php,"Йошкар-Ола, ул. Первомайская,",17
irkutsk.php,"Иркутск, ул. Горького,",11
ivanovo.php,"Иваново, Шереметевский пр-т,",14
izhevsk.php,"Ижевск, ул. Красная,",14
jaroslavl.php,"Ярославль, ул. Лисицына,",8
joshkar-ola.php,"Йошкар-Ола, ул. Первомайская,",5
kaliningrad.php,"Калининград, ул. Фрунзе,",11
kazan.php,"Казань, ул. Гаяза",14
kemerovo.php,"Кемерово, ул. Октябрьский",11
kirov.php,"Киров, ул. Примерная,",12
kovrov.php,"Ковров, ул. Комсомольская,",12
krasnodar.php,"Краснодар, ул. Северная,",16
krasnojarsk.php,"Красноярск, ул. Батурина,",4
krasnoyarsk.php,"Красноярск, ул. Батурина,",17
kurgan.php,"Курган, ул. Советская,",13
lipetsk.php,"Липецк, ул. Первомайская,",11
ljubertsy.php,"Люберцы, ул. 3-е",7
lyubertsy.php,"Люберцы, ул. 3-е",13
meta.php,Не найдено,0
moskva.php,"Москва, ул. Новая",16
mytischi.php,"Мытищи, ул. 3-я",6
mytishchi.php,"Мытищи, ул. 3-я",13
naberezhnye chelny.php,"Набережные Челны, ул.",9
nizhnii novgorod.php,"Нижний Новгород, ул.",14
nizhnii-novgorod.php,"Нижний Новгород, ул.",8
nizhnij-novgorod.php,"Нижний Новгород, ул.",6
novokuznetsk.php,"Новокузнецк, ул. Тольятти,",11
novosibirsk.php,"Новосибирск, ул. Дуси",14
omsk.php,"Омск, ул. Масленникова,",13
orenburg.php,"Оренбург, ул. Чичерина,",14
orsk.php,"Орск, ул. Строителей,",12
penza.php,"Пенза, ул. Свердлова,",15
perm.php,"Пермь, ул. 25",17
popular-cities.php,Не найдено,0
privacy.php,Не найдено,0
rating-info.php,Не найдено,0
rjazan.php,"Рязань, ул. Вознесенская,",6
rostov-na-donu.php,"Ростов-на-Дону, пер. Газетный,",14
ryazan.php,"Рязань, ул. Вознесенская,",12
samara.php,"Самара, ул. Карла",14
sankt-peterburg.php,"Санкт-Петербург, Большой пр-т",16
saratov.php,"Саратов, ул. Н.",15
send_message.php.php,Не найдено,0
sevastopole.php,"Севастополь, ул. Примерная,",16
sidebar.php,Не найдено,0
stati.php,Не найдено,0
stavropol.php,"Ставрополь, проспект Кулакова,",11
surgut.php,"Сургут, ул. 30",13
tolyatti.php,"Тольятти, ул. Автостроителей,",12
tomsk.php,"Томск, ул. Трифонова,",13
tula.php,"Тула, ул. Московская,",15
tver.php,"Тверь, ул. Примерная,",11
tyumen.php,"Тюмень, ул. Республики,",14
ufa.php,"Уфа, ул. Чернышевского,",14
uljanovsk.php,"Ульяновск, ул. Федерации,",7
ulyanovsk.php,"Ульяновск, ул. Федерации,",11
vladimir.php,"Владимир, ул. Студенческая,",11
vladivostok.php,"Владивосток, ул. Ленина,",11
volgograd.php,"Волгоград, пр-т Маршала",13
voronezh.php,"Воронеж, ул. Кольцовская,",14
yaroslavl.php,"Ярославль, ул. Лисицына,",17
